warehouse_id,sku_id,wh_cs_actual,vm_cs_actual
5,25405,0,0
5,25571,781,41
5,25606,0,3
5,25607,0,1
5,25662,355,19
5,25663,380,20
5,25664,500,26
5,25666,0,1
5,26000,2195,116
5,26018,750,40
5,26020,0,0
5,26106,0,4
5,26195,111,6
5,26227,0,0
5,27187,488,26
5,27188,277,15
5,27213,0,4
5,27288,0,4
5,27357,136,7
5,27360,666,35
5,27361,547,29
5,27674,304,16
5,27675,209,11
5,27709,1374,72
5,27710,2113,111
5,27711,0,3
5,27712,573,30
5,27720,0,4
5,27763,177,9
5,27764,382,20
5,27765,110,6
5,27767,519,27
5,27768,680,36
5,27813,472,25
5,27847,890,47
5,27853,625,33
5,27855,571,30
5,28084,876,46
5,28086,285,15
5,28090,177,9
5,28092,414,22
5,28096,1104,58
5,28097,720,38
5,28284,832,44
5,28295,0,4
5,28297,547,29
5,28300,297,16
5,28308,228,12
5,28310,0,4
5,28313,845,45
5,28333,571,30
5,28399,285,15
5,28412,323,17
5,28414,229,12
5,28433,736,39
5,28797,0,4
5,28830,0,5
5,28836,151,8
5,28852,0,0
5,28864,0,2
5,28870,189,10
5,29002,1556,82
5,29061,1600,84
5,29084,303,16
5,29104,166,9
5,29105,0,0
5,29228,403,21
5,29534,946,50
5,29561,102,5
5,29562,523,28
5,29707,237,13
5,29708,399,21
5,29737,77,4
5,30175,307,16
5,30181,186,10
5,30187,460,24
5,30873,0,5
5,30913,514,27
5,31289,0,5
5,31303,0,3
5,31325,777,41
5,31535,177,9
5,31639,0,2
5,32185,793,42
5,32186,113,6
5,32188,237,13
5,32260,0,3
5,32415,0,3
5,32485,214,11
5,33253,113,6
5,33748,0,3
6,1632,0,2
6,1633,544,29
6,1636,1755,92
6,1637,309,16
6,1641,0,1
6,1645,420,22
6,1648,280,15
6,1650,3095,174
6,1703,619,33
6,1708,285,15
6,1709,857,45
6,1712,610,32
6,1722,2627,138
6,1826,690,36
6,1829,304,16
6,1834,1669,88
6,1836,0,4
6,1839,1659,87
6,1841,1141,60
6,1843,0,5
6,1846,615,32
6,1848,142,8
6,1855,151,8
6,1890,9329,519
6,1914,1803,95
6,1928,105,6
6,1929,0,0
6,1960,34,2
6,1961,75,4
6,1965,0,0
6,1976,1047,55
6,1977,0,3
6,1978,1463,77
6,1990,0,0
6,1995,0,3
6,2013,10836,584
6,2030,15,1
6,2053,4927,277
6,2055,0,3
6,2056,0,3
6,2057,0,5
6,2058,0,5
6,2097,0,4
6,2119,892,47
6,2134,102,5
6,2200,182,10
6,2216,406,21
6,2235,1820,96
6,2236,1532,81
6,2449,128,7
6,2450,262,14
6,2459,762,40
6,2467,209,11
6,2472,182,10
6,2477,182,10
6,4974,107,6
6,6246,620,33
6,6248,0,0
6,6359,409,22
6,6361,376,20
6,6365,258,14
6,6383,0,4
6,6389,511,27
6,6419,292,15
6,6422,0,4
6,6430,0,0
6,6452,240,13
6,6482,1091,57
6,6484,0,1
6,6486,0,0
6,6487,2563,135
6,6512,6952,394
6,6680,928,49
6,6700,0,5
6,6756,0,4
6,6980,0,4
6,7146,1266,67
6,10836,183,10
6,12133,264,14
6,12143,219,12
6,12171,228,12
6,14333,0,0
6,14506,1266,67
6,14507,1167,61
6,14533,199,11
6,14534,162,9
6,14555,173,9
